,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Mat,1.0,0.9839921047102117,0.6719246078487822,0.7834069791102486,0.2761574687145665,-0.024637766019746578,0.8008850540177449,0.19623628612429223,0.20574209440099647,0.4164415811027683,0.3996121202774602,0.6009076472417633,0.6604995014720995
Inns,0.9839921047102117,1.0,0.5991843793999464,0.830700264665707,0.33263702155236385,-0.021944920021877597,0.846581010842534,0.21408904263607934,0.2454030729282154,0.4784817454884525,0.43707935201931797,0.6774104566773832,0.6891280263410948
NO,0.6719246078487822,0.5991843793999464,1.0,0.42661600718770715,-0.08315263725545491,0.27884218137151995,0.42681655895520887,0.16037042852018257,-0.027443240212495567,0.1388037836025251,0.07526516442450672,0.18100558422055238,0.34455101604469096
Runs,0.7834069791102486,0.830700264665707,0.42661600718770715,1.0,0.6350328121268917,0.4317207023197984,0.9751868713277664,0.3695192982520335,0.4997140525936402,0.8449499952617964,0.23208828977863086,0.9228087440081922,0.7731702303918947
HS,0.2761574687145665,0.33263702155236385,-0.08315263725545491,0.6350328121268917,1.0,0.5000412221487076,0.5688045402496187,0.45348476896076206,0.7309628706450363,0.6426236516897277,0.1608439374742631,0.7188461788501871,0.5161237762791264
Ave,-0.024637766019746578,-0.021944920021877597,0.27884218137151995,0.4317207023197984,0.5000412221487076,1.0,0.3671977099465388,0.3498366119256089,0.3619763560076735,0.5919911099171217,-0.343033011596951,0.41517725245544707,0.24963714784007254
BF,0.8008850540177449,0.846581010842534,0.42681655895520887,0.9751868713277664,0.5688045402496187,0.3671977099465388,1.0,0.16549314092085116,0.39175862528016414,0.7999618444972935,0.24115161918876102,0.9077926039138168,0.6708748948893424
SR,0.19623628612429223,0.21408904263607934,0.16037042852018257,0.3695192982520335,0.45348476896076206,0.3498366119256089,0.16549314092085116,1.0,0.530629009936703,0.36150141553025095,0.06151285524032648,0.3021273756024261,0.6214812899213926
100,0.20574209440099647,0.2454030729282154,-0.027443240212495567,0.4997140525936402,0.7309628706450363,0.3619763560076735,0.39175862528016414,0.530629009936703,1.0,0.5165194343363241,0.06678124710068044,0.47806553740556856,0.6123763165594552
50,0.4164415811027683,0.4784817454884525,0.1388037836025251,0.8449499952617964,0.6426236516897277,0.5919911099171217,0.7999618444972935,0.36150141553025095,0.5165194343363241,1.0,0.10058875023079297,0.8547821581936045,0.6159331347288731
0,0.3996121202774602,0.43707935201931797,0.07526516442450672,0.23208828977863086,0.1608439374742631,-0.343033011596951,0.24115161918876102,0.06151285524032648,0.06678124710068044,0.10058875023079297,1.0,0.2420866628418996,0.1955753506440967
4s,0.6009076472417633,0.6774104566773832,0.18100558422055238,0.9228087440081922,0.7188461788501871,0.41517725245544707,0.9077926039138168,0.3021273756024261,0.47806553740556856,0.8547821581936045,0.2420866628418996,1.0,0.5771118383729152
6s,0.6604995014720995,0.6891280263410948,0.34455101604469096,0.7731702303918947,0.5161237762791264,0.24963714784007254,0.6708748948893424,0.6214812899213926,0.6123763165594552,0.6159331347288731,0.1955753506440967,0.5771118383729152,1.0
