Player,Role
S Dhawan (INDIA),Opener
Umar Akmal (PAK),Middle-order
H Masakadza (ZIM),Opener
Mohammad Rizwan (PAK),Middle-order
MS Dhoni (INDIA),"Middle-order,Finisher"
MN Samuels (WI),Middle-order
SK Raina (INDIA),Middle-order
MDKJ Perera (SL),Opener
F du Plessis (SA/World),Middle-order
LMP Simmons (WI),Middle-order
DPMD Jayawardene (SL),Middle-order
Ahmed Shehzad (PAK),Opener
E Lewis (WI),Opener
DJ Malan (ENG),Middle-order
MP O'Dowd (NED),Opener
Shaiman Anwar (UAE),Opener
P Khadka (NEPAL),Opener
TP Ura (PNG),Opener
