Player,Role,Proposed_Role
MJ Guptill (NZ),Opener,Opener
V Kohli (INDIA),Opener,Opener
RG Sharma (INDIA),Opener,Opener
Babar Azam (PAK),Opener,Opener
AJ Finch (AUS),Opener,Opener
PR Stirling (IRE),Opener,Opener
DA Warner (AUS),Opener,Opener
Mohammad Hafeez (PAK),"Opener,All-rounder","Opener,All-rounder"
Shoaib Malik (ICC/PAK),"Opener,All-rounder","Opener,All-rounder"
EJG Morgan (ENG),Opener,Opener
BB McCullum (NZ),Opener,Opener
JC Buttler (ENG),Opener,Opener
KS Williamson (NZ),Opener,Opener
Mohammad Shahzad (AFG),Opener,Opener
KJ O'Brien (IRE),"Opener,All-rounder","Opener,All-rounder"
Mahmudullah (BAN),"Opener,All-rounder","Opener,All-rounder"
JP Duminy (SA),Opener,Opener
LRPL Taylor (NZ),Opener,Opener
CH Gayle (WI),Opener,Opener
Shakib Al Hasan (BAN),"Opener,All-rounder","Opener,All-rounder"
TM Dilshan (SL),Opener,Opener
GJ Maxwell (AUS),"Opener,Finisher,All-rounder","Opener,Finisher,All-rounder"
KL Rahul (INDIA),Opener,Opener
Q de Kock (SA),Opener,Opener
DA Miller (SA/World),"Middle-order,Finisher","Middle-order,Finisher"
S Dhawan (INDIA),Top-order,Opener
Tamim Iqbal (BAN/ICC/World),Opener,Opener
C Munro (NZ),Opener,Opener
Umar Akmal (PAK),Top-order,Opener
AB de Villiers (SA),Opener,Opener
H Masakadza (ZIM),Top-order,Opener
AD Hales (ENG),Opener,Opener
Mohammad Rizwan (PAK),Top-order,Opener
MS Dhoni (INDIA),Top-order,Opener
MN Samuels (WI),Top-order,Opener
SK Raina (INDIA),Top-order,Opener
MDKJ Perera (SL),Top-order,Opener
F du Plessis (SA/World),Top-order,Opener
LMP Simmons (WI),Top-order,Opener
Mohammad Nabi (AFG),"Opener,All-rounder,Finisher","Opener,All-rounder,Finisher"
KJ Coetzer (SCOT),Middle-order,Middle-order
DPMD Jayawardene (SL),Top-order,Opener
Ahmed Shehzad (PAK),Top-order,Opener
Mushfiqur Rahim (BAN),Middle-order,Middle-order
E Lewis (WI),Top-order,Opener
KC Sangakkara (SL),Middle-order,Middle-order
Asghar Afghan (AFG),Middle-order,Middle-order
HM Amla (SA/World),Middle-order,Middle-order
GC Wilson (IRE),Middle-order,Middle-order
Fakhar Zaman (PAK),Middle-order,Middle-order
DJ Malan (ENG),Top-order,Opener
BN Cooper (NED),Middle-order,Middle-order
Najibullah Zadran (AFG),Middle-order,Middle-order
JM Bairstow (ENG),Middle-order,Middle-order
A Balbirnie (IRE),Middle-order,Middle-order
KP Pietersen (ENG),Middle-order,Middle-order
MP O'Dowd (NED),Top-order,Opener
CS MacLeod (SCOT),Middle-order,Middle-order
Soumya Sarkar (BAN),Middle-order,Middle-order
WTS Porterfield (IRE),Middle-order,Middle-order
RR Hendricks (SA),Middle-order,Middle-order
Kamran Akmal (PAK),Middle-order,Middle-order
CL White (AUS),Middle-order,Middle-order
GC Smith (SA),Middle-order,Middle-order
Shaiman Anwar (UAE),Top-order,Opener
ADS Fletcher (WI),Middle-order,Middle-order
LD Chandimal (SL),Middle-order,Middle-order
Sabbir Rahman (BAN),Middle-order,Middle-order
MH Cross (SCOT),Middle-order,Middle-order
BRM Taylor (ZIM),Middle-order,Middle-order
HE van der Dussen (SA),Middle-order,Middle-order
G Gambhir (INDIA),Middle-order,Middle-order
JE Root (ENG),Middle-order,Middle-order
MR Marsh (AUS),Middle-order,Middle-order
Muhammad Usman (UAE),Middle-order,Middle-order
SPD Smith (AUS),Middle-order,Middle-order
N Pooran (WI),Middle-order,Middle-order
Liton Das (BAN),Middle-order,Middle-order
CO Obuya (KENYA),Middle-order,Middle-order
Sarfaraz Ahmed (PAK),Middle-order,Middle-order
Jatinder Singh (OMA),Middle-order,Middle-order
P Khadka (NEPAL),Top-order,Opener
W Barresi (NED),Middle-order,Middle-order
Mohammad Naim (BAN),Middle-order,Middle-order
Misbah-ul-Haq (PAK),Middle-order,Middle-order
CR Ervine (ZIM),Middle-order,Middle-order
SJ Myburgh (NED),Middle-order,Middle-order
LJ Wright (ENG),Middle-order,Middle-order
TP Ura (PNG),Top-order,Opener
DJ Hussey (AUS),Middle-order,Middle-order
TL Seifert (NZ),Middle-order,Middle-order
